시작,시작위도,시작경도,끝,끝위도,끝경도,,,,,,,,,,,,,,,,,,,,
경대서문교차로,35.888817,128.603094,복현오거리,35.8976552,128.6149982,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 산격2동 590-3,35.9043385,128.6030492,대구광역시 북구 검단동 600-6,35.9102971,128.6161734,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 산격2동 14-139,35.9107894,128.6053384,대구광역시 북구 산격2동 1607,35.9084345,128.6093897,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 산격2동 1772,35.9121562,128.6142965,대구광역시 북구 산격2동 1545-1,35.9087125,128.6064681,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 산격2동 36-10,35.9111207,128.6114589,대구광역시 북구 산격동 1705,35.9085896,128.6136231,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 대현동 153-10,35.8820455,128.6117769,복현네거리,35.8924337,128.6221643,,,,,,,,,,,,,,,,,,,,
북부도서관,35.8851283,128.5839737,고성아파트,38.3801292,128.4674385,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 산격4동 1457-2,35.889781,128.600255,대구실내체육관,35.893461,128.6034161,,,,,,,,,,,,,,,,,,,,
공단역,35.8921571,128.5534645,신천대로 입구,35.8935,128.552,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 관문동 42-2,35.9155049,128.5377568,대구광역시 북구 관문동 53-1,35.9149916,128.5388769,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 관문동 228-2,35.9081415,128.5422981,팔금교,35.8974,128.5472,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 관문동 134-9,35.897022,128.5496419,진흥교,35.8974,128.5472,,,,,,,,,,,,,,,,,,,,
목련아파트교차로,36.350301,127.3918798,관음동로,35.9416987,128.5473107,,,,,,,,,,,,,,,,,,,,
관음동로,35.9416987,128.5473107,관음로,35.9415586,128.5419881,,,,,,,,,,,,,,,,,,,,
읍내공원,35.9406149,128.549621,관음로,35.9415586,128.5419881,,,,,,,,,,,,,,,,,,,,
칠곡우체국네거리,35.9952543,128.3976699,칠곡우방타운,35.9482035,128.5489475,,,,,,,,,,,,,,,,,,,,
진흥교,35.9561,128.5558,경북농업기술원,35.9576016,128.5613511,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 산격2동 590-3,35.9043385,128.6030492,산격대교,35.9083203,128.6004159,,,,,,,,,,,,,,,,,,,,
중로1-109(동변로(동변교,35.9209601,128.601152,대백마트 동변점,35.9214855,128.6035264,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 무태조야동 1116-3,35.921185,128.5943546,대구광역시 북구 서변동 1786,35.9213601,128.5988248,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 무태조야동 1727-12,35.9272608,128.5966884,대구광역시 북구 무태조야동 1764,35.9172393,128.5963084,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 서변동 1779-1,35.9241749,128.5986554,대구광역시 북구 무태조야동 1787-10,35.9192131,128.5986778,,,,,,,,,,,,,,,,,,,,
대구광역시 북구 무태조야동 1753-10,35.9191766,128.5947662,대구광역시 북구 서변동 1787-9,35.9192909,128.5989699,,,,,,,,,,,,,,,,,,,,
태전고가교,35.9307,128.5389,칠곡우방타운,35.9482035,128.5489475,,,,,,,,,,,,,,,,,,,,
태전고가교,35.9307,128.5389,태전교,35.9190125,128.5473373,,,,,,,,,,,,,,,,,,,,
